"","STUDENTID","AGE","GENDER","HS_TYPE","SCHOLARSHIP","WORK","ACTIVITY","PARTNER","SALARY","TRANSPORT","LIVING","MOTHER_EDU","FATHER_EDU","X._SIBLINGS","KIDS","MOTHER_JOB","FATHER_JOB","STUDY_HRS","READ_FREQ","READ_FREQ_SCI","ATTEND_DEPT","IMPACT","ATTEND","PREP_STUDY","PREP_EXAM","NOTES","LISTENS","LIKES_DISCUSS","CLASSROOM","CUML_GPA","EXP_GPA","COURSE.ID","GRADE"
"1","STUDENT1","18-22 yrs","Female","Home School","Full","No","Yes","Yes","<RS.20k","Public","Dorm","No Schooling","Primary","2","None","Laborer","Professional","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Never","Moderate","<2.0","<2.0",1,"D"
"2","STUDENT2","18-22 yrs","Female","Home School","Full","No","Yes","Yes","<RS.20k","Public","Dorm","Primary","Secondary","1","None","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Often","Moderate","2.0-2.5","2.5-3.0",1,"D"
"3","STUDENT3","18-22 yrs","Female","Private","Full","Yes","Yes","Yes","RS.20k-RS.40k","Walk","Apartment","Primary","Primary","1","None","Laborer","Unemployed","1 to 3","Never","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Never","Quiet","2.0-2.5","2.0-2.5",1,"D"
"4","STUDENT4","<18 yrs","Male","Public","Full","No","Yes","No","RS.20k-RS.40k","Public","Apartment","No Schooling","Primary","4+","None","Laborer","Unemployed","3 to 5","Never","Sometimes","Never","Low","Regular","Low","Moderate","Often","Sometimes","Sometimes","Quiet","2.5-3.0","2.0-2.5",1,"D"
"5","STUDENT5","18-22 yrs","Female","Public","Full","Yes","Yes","No","RS.40k-RS.60k","Public","With Parents","Secondary","Secondary","1","None","Laborer","Manager","1 to 3","Never","Never","Never","Low","Regular","Moderate","Low","Sometimes","Sometimes","Sometimes","Quiet","2.0-2.5","2.0-2.5",1,"D"
"6","STUDENT6","18-22 yrs","Female","Private","Full","Yes","Yes","Yes","RS.20k-RS.40k","Public","Dorm","Secondary","Secondary","1","None","Laborer","Clerk","less than 1","Never","Sometimes","Never","Low","Regular","Low","Low","Never","Sometimes","Never","Moderate","3.0-3.5","3.0-3.5",1,"C"
"7","STUDENT7","<18 yrs","Female","Private","Merit","Yes","Yes","Yes","<RS.20k","Public","House","No Schooling","Secondary","0","None","Laborer","Manager","1 to 3","Sometimes","Sometimes","Often","Low","Irregular","Low","Low","Often","Often","Often","Noisy","3.0-3.5","3.0-3.5",1,"B+"
"8","STUDENT8","<18 yrs","Male","Private","Full","No","No","No","RS.20k-RS.40k","Private","House","High School","Secondary","0","None","Manager","Clerk","less than 1","Sometimes","Sometimes","Never","Low","Regular","High","Low","Often","Sometimes","Sometimes","Quiet","<2.0","<2.0",1,"C"
"9","STUDENT9","18-22 yrs","Male","Home School","Full","Yes","No","No","<RS.20k","Public","House","Primary","High School","1","None","Laborer","Manager","less than 1","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Moderate","3.0-3.5","<2.0",1,"B+"
"10","STUDENT10","18-22 yrs","Male","Private","Full","Yes","Yes","No","RS.40k-RS.60k","Walk","Apartment","No Schooling","Primary","2","None","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Sometimes","Moderate","<2.0","<2.0",1,"F"
